peak_date,trough_date,peak_value,trough_value,drop_amount,days_in_reversal
2017-11-24,2017-11-27,6416.0,6394.75,21.25,3.0
2017-11-28,2017-12-04,6429.5,6250.75,178.75,6.0
2017-12-06,2018-12-24,6307.0,5888.75,418.25,383.0
2017-12-11,2017-12-12,6409.75,6371.75,38.0,1.0
2017-12-18,2017-12-20,6542.0,6463.25,78.75,2.0
2017-12-22,2017-12-27,6467.5,6442.0,25.5,5.0
2017-12-28,2017-12-29,6442.25,6383.25,59.0,1.0
2018-01-08,2018-01-10,6690.75,6628.25,62.5,2.0
2018-01-23,2018-01-25,6981.25,6902.0,79.25,2.0
2018-01-29,2018-01-30,6980.0,6902.75,77.25,1.0
2018-01-31,2018-02-06,6991.0,6677.5,313.5,6.0
2018-02-07,2018-02-09,6532.0,6455.5,76.5,2.0
2018-02-20,2018-02-22,6843.75,6831.5,12.25,2.0
2018-02-26,2018-03-02,7007.5,6823.25,184.25,4.0
2018-03-12,2018-03-14,7158.75,7012.25,146.5,2.0
2018-03-16,2018-03-20,7031.0,6927.75,103.25,4.0
2018-03-21,2018-03-23,6842.25,6519.0,323.25,2.0
2018-03-26,2018-03-28,6779.0,6421.0,358.0,2.0
2018-03-29,2018-04-03,6653.75,6496.75,157.0,5.0
2018-04-05,2018-04-09,6654.5,6618.0,36.5,4.0
2018-04-10,2018-04-11,6651.75,6550.75,101.0,1.0
2018-04-18,2018-04-25,6867.0,6576.25,290.75,7.0
2018-04-27,2018-04-30,6623.0,6595.5,27.5,3.0
2018-05-02,2018-11-20,6625.25,6449.5,175.75,202.0
2018-05-14,2018-05-16,7013.5,6953.5,60.0,2.0
2018-05-17,2018-05-18,6875.0,6862.25,12.75,1.0
2018-05-25,2018-05-30,7003.75,6994.75,9.0,5.0
2018-06-06,2018-06-08,7222.25,7077.75,144.5,2.0
2018-06-15,2018-06-19,7229.25,7157.5,71.75,4.0
2018-06-21,2018-06-28,7226.25,7076.5,149.75,7.0
2018-07-02,2018-07-03,7119.75,7022.25,97.5,1.0
2018-07-10,2018-07-11,7335.5,7204.5,131.0,1.0
2018-07-13,2018-07-16,7414.25,7316.0,98.25,3.0
2018-07-18,2018-07-20,7381.5,7350.75,30.75,2.0
2018-07-26,2018-07-30,7450.0,7166.75,283.25,4.0
2018-08-07,2018-08-08,7486.75,7442.5,44.25,1.0
2018-08-09,2018-08-13,7505.5,7378.25,127.25,4.0
2018-08-14,2018-08-16,7465.0,7434.5,30.5,2.0
2018-08-17,2018-08-20,7407.0,7351.5,55.5,3.0
2018-08-22,2018-08-23,7444.75,7411.25,33.5,1.0
2018-08-31,2018-09-07,7682.25,7393.0,289.25,7.0
2018-09-11,2018-09-12,7524.75,7425.0,99.75,1.0
2018-09-14,2018-09-17,7515.25,7429.5,85.75,3.0
2018-09-24,2018-09-26,7594.0,7577.5,16.5,2.0
2018-10-02,2018-10-08,7630.25,7286.5,343.75,6.0
2018-10-09,2018-10-11,7455.75,7138.0,317.75,2.0
2018-10-12,2018-10-15,7197.75,7060.75,137.0,3.0
2018-10-17,2018-10-19,7221.5,7092.75,128.75,2.0
2018-10-22,2018-10-24,7210.5,6785.75,424.75,2.0
2018-10-26,2018-10-30,6986.5,6849.25,137.25,4.0
2018-11-01,2018-11-05,7079.75,6865.0,214.75,4.0
2018-11-08,2018-11-15,7132.0,6920.5,211.5,7.0
2018-11-16,2018-11-20,6915.0,6449.5,465.5,4.0
2018-12-03,2018-12-07,7139.0,6594.75,544.25,4.0
2018-12-12,2018-12-24,6872.0,5888.75,983.25,12.0
2018-12-27,2018-12-28,6333.0,6243.75,89.25,1.0
2019-01-02,2019-01-03,6409.25,6148.5,260.75,1.0
2019-01-10,2019-01-14,6641.75,6521.5,120.25,4.0
2019-01-18,2019-01-23,6828.25,6724.25,104.0,5.0
2019-01-25,2019-01-29,6810.5,6616.75,193.75,4.0
2019-02-05,2019-02-08,7033.75,6926.25,107.5,3.0
2019-02-20,2019-02-22,7105.0,7101.25,3.75,2.0
2019-02-25,2019-02-28,7168.5,7072.5,96.0,3.0
2019-03-06,2019-03-08,7107.0,7034.0,73.0,2.0
2019-03-14,2019-06-03,7237.75,6941.25,296.5,81.0
2019-03-21,2019-03-25,7541.0,7290.0,251.0,4.0
2019-03-26,2019-03-28,7447.5,7372.5,75.0,2.0
2019-04-03,2019-04-05,7616.25,7612.75,3.5,2.0
2019-04-08,2019-04-09,7629.25,7578.75,50.5,1.0
2019-04-12,2019-04-15,7665.0,7598.75,66.25,3.0
2019-04-24,2019-04-26,7852.75,7845.5,7.25,2.0
2019-04-29,2019-05-02,7805.5,7682.25,123.25,3.0
2019-05-03,2019-05-09,7872.5,7481.0,391.5,6.0
2019-05-10,2019-05-14,7654.5,7459.5,195.0,4.0
2019-05-16,2019-05-21,7641.0,7485.25,155.75,5.0
2019-05-22,2019-05-24,7391.25,7300.5,90.75,2.0
2019-05-28,2019-06-03,7280.25,6941.25,339.0,6.0
2019-06-11,2019-06-12,7492.75,7461.0,31.75,1.0
2019-06-13,2019-06-14,7536.0,7451.5,84.5,1.0
2019-06-24,2019-06-26,7794.25,7719.0,75.25,2.0
2019-07-03,2019-07-08,7892.75,7777.5,115.25,5.0
2019-07-15,2019-07-17,7992.0,7868.0,124.0,2.0
2019-07-18,2019-07-22,7954.75,7936.5,18.25,4.0
2019-07-24,2019-07-26,8051.75,8040.75,11.0,2.0
2019-07-29,2019-08-06,7951.75,7549.0,402.75,8.0
2019-08-09,2019-08-12,7596.75,7534.75,62.0,3.0
2019-08-13,2019-08-15,7789.5,7572.75,216.75,2.0
2019-08-21,2019-08-26,7765.75,7626.0,139.75,5.0
2019-08-27,2020-03-12,7537.0,7128.5,408.5,198.0
2019-08-30,2019-09-03,7646.0,7580.75,65.25,4.0
2019-09-06,2019-09-10,7895.0,7744.25,150.75,4.0
2019-09-12,2019-09-16,7982.75,7776.25,206.5,4.0
2019-09-18,2019-09-20,7906.75,7890.75,16.0,2.0
2019-09-23,2019-09-25,7897.5,7844.25,53.25,2.0
2019-09-26,2019-09-27,7734.75,7641.0,93.75,1.0
2019-10-01,2019-10-03,7691.0,7661.5,29.5,2.0
2019-10-07,2019-10-09,7799.75,7732.0,67.75,2.0
2019-10-16,2019-10-18,7907.5,7835.75,71.75,2.0
2019-10-22,2020-03-09,7837.25,7820.0,17.25,139.0
2019-10-30,2019-10-31,8141.0,8046.0,95.0,1.0
2019-11-05,2019-11-06,8193.25,8161.0,32.25,1.0
2019-11-08,2019-11-11,8264.25,8206.5,57.75,3.0
2019-11-13,2019-11-14,8220.0,8216.25,3.75,1.0
2019-11-19,2019-11-21,8379.0,8308.0,71.0,2.0
2019-11-27,2019-12-03,8458.75,8168.25,290.5,6.0
2019-12-09,2020-03-09,8347.0,7820.0,527.0,91.0
2019-12-27,2019-12-30,8769.0,8691.25,77.75,3.0
2020-01-02,2020-01-06,8901.5,8873.0,28.5,4.0
2020-01-09,2020-01-10,9022.25,8966.25,56.0,1.0
2020-01-14,2020-01-15,9035.0,9023.0,12.0,1.0
2020-01-17,2020-01-21,9189.25,9114.75,74.5,4.0
2020-01-23,2020-01-27,9253.5,8925.5,328.0,4.0
2020-01-30,2020-02-03,9240.0,9155.75,84.25,4.0
2020-02-06,2020-02-07,9464.0,9385.0,79.0,1.0
2020-02-12,2020-02-13,9628.25,9511.25,117.0,1.0
2020-02-19,2020-02-28,9748.75,8574.75,1174.0,9.0
2020-03-02,2020-03-03,8883.25,8511.0,372.25,1.0
2020-03-05,2020-03-09,8610.75,7820.0,790.75,4.0
2020-03-11,2020-03-12,7892.75,7128.5,764.25,1.0
2020-03-13,2020-03-19,7978.0,7521.5,456.5,6.0
2020-03-20,2020-03-24,7649.0,7572.25,76.75,4.0
2020-03-27,,7551.25,,,
2020-03-31,2020-04-02,7747.5,7656.25,91.25,2.0
2020-04-17,2020-04-21,8689.5,8342.0,347.5,4.0
2020-04-27,2020-04-28,8898.0,8654.5,243.5,1.0
2020-04-30,2020-05-04,8856.5,8828.0,28.5,4.0
2020-05-11,2020-05-13,9339.0,8878.25,460.75,2.0
2020-05-21,,9352.0,,,
2020-05-27,,9508.0,,,
2020-06-03,2020-06-04,9728.25,9572.25,156.0,1.0
2020-06-10,2020-06-12,10155.5,9849.25,306.25,2.0
2020-06-23,2020-06-29,10296.25,9997.0,299.25,6.0
2020-07-10,2020-07-16,10847.5,10475.5,372.0,6.0
2020-07-21,2020-07-24,10784.75,10301.0,483.75,3.0
2020-07-30,2020-07-31,10897.25,10691.0,206.25,1.0
2020-08-06,2020-08-11,11271.75,10845.5,426.25,5.0
2020-08-13,2020-08-14,11266.0,11096.0,170.0,1.0
2020-08-18,2020-08-19,11415.25,11299.0,116.25,1.0
2020-09-02,2020-09-08,12465.25,11040.5,1424.75,6.0
2020-09-10,2020-09-11,11088.0,10937.5,150.5,1.0
2020-09-15,2020-09-18,11495.5,11179.25,316.25,3.0
2020-09-22,2020-09-24,11191.0,11011.75,179.25,2.0
2020-10-01,2020-10-06,11599.25,11197.5,401.75,5.0
2020-10-13,2020-10-20,12019.0,11598.5,420.5,7.0
2020-10-21,2020-10-26,11779.25,11343.25,436.0,5.0
2020-10-27,2020-11-02,11623.0,11212.0,411.0,6.0
2020-11-06,2020-11-10,11868.25,11503.25,365.0,4.0
2020-11-17,2020-11-18,11953.75,11861.5,92.25,1.0
2020-11-27,2020-11-30,12307.5,12086.0,221.5,3.0
2020-12-02,2020-12-11,12312.5,12234.25,78.25,9.0
2020-12-08,2020-12-11,12652.5,12234.25,418.25,3.0
2020-12-18,2020-12-22,12823.0,12760.0,63.0,4.0
2020-12-23,2021-01-06,12623.5,12491.25,132.25,14.0
2020-12-29,2021-01-06,12808.25,12491.25,317.0,8.0
2020-12-31,2021-01-06,12896.0,12491.25,404.75,6.0
2021-01-08,2021-01-12,13125.0,12767.25,357.75,4.0
2021-01-14,2021-01-15,12881.0,12743.5,137.5,1.0
2021-01-21,2021-01-22,13423.5,13300.25,123.25,1.0
2021-01-26,2021-02-01,13599.75,13271.5,328.25,6.0
2021-02-08,2021-02-10,13693.0,13516.75,176.25,2.0
2021-02-12,2021-02-23,13820.75,12757.25,1063.5,11.0
2021-02-25,2021-03-04,12764.0,12306.5,457.5,7.0
2021-03-01,2021-03-04,13318.0,12306.5,1011.5,3.0
2021-03-05,2021-03-08,12697.75,12281.75,416.0,3.0
2021-03-12,2021-03-19,12768.25,12732.75,35.5,7.0
2021-03-17,2021-03-19,13283.25,12732.75,550.5,2.0
2021-03-23,2021-03-25,12979.0,12609.75,369.25,2.0
2021-03-29,2021-03-30,12807.5,12776.5,31.0,1.0
2021-04-09,2021-04-12,13841.75,13732.0,109.75,3.0
2021-04-16,2021-04-20,14059.5,13719.25,340.25,4.0
2021-04-21,2021-04-22,13926.5,13701.75,224.75,1.0
2021-04-26,2021-05-05,14039.25,13462.75,576.5,9.0
2021-05-07,2021-05-13,13818.0,13223.75,594.25,6.0
2021-05-14,2021-05-18,13426.25,13178.5,247.75,4.0
2021-05-27,2021-06-01,13620.25,13592.25,28.0,5.0
2021-06-02,2021-06-03,13712.75,13462.25,250.5,1.0
2021-06-07,2021-06-08,13824.0,13741.75,82.25,1.0
2021-06-15,2021-06-16,14009.25,13840.0,169.25,1.0
2021-06-18,2022-01-25,14063.5,13890.0,173.5,221.0
2021-06-29,2021-07-01,14584.75,14471.0,113.75,2.0
2021-07-07,2021-07-09,14883.75,14832.0,51.75,2.0
2021-07-12,2021-07-13,14888.5,14794.5,94.0,1.0
2021-07-14,2021-07-19,14996.0,14445.0,551.0,5.0
2021-07-26,2021-07-28,15134.0,15074.5,59.5,2.0
2021-07-29,2021-08-02,15084.0,14932.25,151.75,4.0
2021-08-05,2021-08-11,15172.5,14963.0,209.5,6.0
2021-08-16,2021-08-18,15139.0,14806.5,332.5,2.0
2021-08-25,2021-08-26,15397.0,15255.25,141.75,1.0
2021-09-02,2021-09-14,15551.75,15351.25,200.5,12.0
2021-09-07,2021-09-14,15708.75,15351.25,357.5,7.0
2021-09-16,2021-09-21,15542.0,15163.25,378.75,5.0
2021-09-24,2021-09-30,15334.25,14670.25,664.0,6.0
2021-10-01,2021-10-05,14818.0,14754.75,63.25,4.0
2021-10-08,2021-10-12,14790.75,14585.5,205.25,4.0
2021-10-21,2021-10-22,15483.75,15273.75,210.0,1.0
2021-11-08,2021-11-11,16394.0,16114.0,280.0,3.0
2021-11-12,2021-11-15,16213.25,16082.25,131.0,3.0
2021-11-19,2021-11-23,16628.5,16118.5,510.0,4.0
2021-11-24,2021-11-26,16368.5,15988.0,380.5,2.0
2021-11-30,2021-12-06,16068.75,15897.25,171.5,6.0
2021-12-08,2021-12-14,16436.75,15738.5,698.25,6.0
2021-12-16,2021-12-20,15800.25,15492.0,308.25,4.0
2021-12-28,2021-12-31,16452.25,16313.75,138.5,3.0
2022-01-03,2022-01-07,16508.0,15510.0,998.0,4.0
2022-01-12,2022-01-25,16009.25,13890.0,2119.25,13.0
2022-01-26,2022-01-28,14639.75,14442.0,197.75,2.0
2022-02-01,2022-02-04,15137.0,14362.75,774.25,3.0
2022-02-09,2022-02-14,15068.0,14394.0,674.0,5.0
2022-02-16,2022-02-23,14668.5,13471.25,1197.25,7.0
2022-02-28,2022-03-02,14292.25,14290.0,2.25,2.0
2022-03-03,2022-03-08,13955.0,13103.25,851.75,5.0
2022-03-10,2022-03-14,13396.25,13015.5,380.75,4.0
2022-03-30,2022-04-01,15012.25,14725.0,287.25,2.0
2022-04-05,2022-04-12,14780.25,13881.25,899.0,7.0
2022-04-13,2022-04-18,14266.5,14002.5,264.0,5.0
2022-04-19,2022-04-27,14242.0,13255.25,986.75,8.0
2022-04-28,2022-05-02,13542.0,13084.5,457.5,4.0
2022-05-04,2022-05-09,13555.25,12135.25,1420.0,5.0
2022-05-10,2022-05-12,12547.0,11689.0,858.0,2.0
2022-05-17,2022-05-20,12578.0,11491.25,1086.75,3.0
2022-05-24,2022-06-14,11576.25,11205.0,371.25,21.0
2022-05-31,2022-06-01,12480.0,12454.75,25.25,1.0
2022-06-03,2022-06-14,12503.0,11205.0,1298.0,11.0
2022-06-07,2022-06-14,12740.25,11205.0,1535.25,7.0
2022-06-15,2022-06-17,11759.25,11130.25,629.0,2.0
2022-06-27,2022-07-01,11994.25,11629.75,364.5,4.0
2022-07-08,2022-07-13,12211.0,11479.25,731.75,5.0
2022-07-21,2022-07-26,12655.25,12072.0,583.25,5.0
2022-07-29,2022-08-02,13012.0,12814.75,197.25,4.0
2022-08-04,2022-08-09,13356.0,12963.25,392.75,5.0
2022-08-15,2022-08-17,13706.0,13406.25,299.75,2.0
2022-08-18,2022-08-23,13575.5,12823.5,752.0,5.0
2022-08-25,2022-08-31,13161.5,12276.25,885.25,6.0
2022-09-01,2022-09-06,12299.5,11930.0,369.5,5.0
2022-09-12,2022-09-16,12773.75,11750.5,1023.25,4.0
2022-09-20,2022-09-26,11828.25,11256.5,571.75,6.0
2022-09-28,2022-09-30,11613.5,11024.25,589.25,2.0
2022-10-05,2022-10-12,11366.5,10805.5,561.0,7.0
2022-10-13,2022-10-14,11142.75,10726.75,416.0,1.0
2022-10-18,2022-10-20,11431.75,11008.0,423.75,2.0
2022-10-25,2022-10-27,11734.0,10921.5,812.5,2.0
2022-10-31,2022-11-03,11367.25,10708.0,659.25,3.0
2022-11-08,2022-11-09,11231.25,10822.25,409.0,1.0
2022-11-16,2022-11-18,11706.5,11607.0,99.5,2.0
2022-11-25,2022-11-29,11766.25,11465.0,301.25,4.0
2022-12-01,2022-12-07,11943.25,11422.5,520.75,6.0
2022-12-13,2022-12-20,12229.5,11043.5,1186.0,7.0
2022-12-21,2022-12-23,11389.75,11143.0,246.75,2.0
2022-12-27,2022-12-28,10896.0,10758.75,137.25,1.0
2022-12-30,2023-01-03,10855.5,10844.75,10.75,4.0
2023-01-04,2023-01-05,11068.5,10805.0,263.5,1.0
2023-01-17,2023-01-19,11685.0,11308.5,376.5,2.0
2023-01-24,2023-01-25,11835.75,11604.5,231.25,1.0
2023-01-27,2023-01-31,12308.5,12156.0,152.5,4.0
2023-02-03,2023-02-06,12551.25,12455.75,95.5,3.0
2023-02-08,2023-02-10,12512.75,12243.25,269.5,2.0
2023-02-15,2023-02-22,12756.5,12034.0,722.5,7.0
2023-02-23,2023-02-27,12261.0,12189.5,71.5,4.0
2023-02-28,2023-03-01,12025.75,11924.75,101.0,1.0
2023-03-06,2023-03-10,12486.25,11795.0,691.25,4.0
2023-03-17,2023-03-20,12636.5,12525.25,111.25,3.0
2023-03-24,2023-03-28,12924.75,12634.25,290.5,4.0
2023-04-03,2023-04-05,13278.75,13006.0,272.75,2.0
2023-04-06,2023-04-12,13191.0,12937.75,253.25,6.0
2023-04-14,2023-04-26,13058.0,12863.75,194.25,12.0
2023-04-19,2023-04-26,13226.75,12863.75,363.0,7.0
2023-04-28,2023-05-04,13336.0,13001.75,334.25,6.0
2023-05-08,2023-05-09,13368.0,13250.5,117.5,1.0
2023-05-11,2023-05-12,13470.25,13310.5,159.75,1.0
2023-05-22,2023-05-24,13946.75,13566.5,380.25,2.0
2023-05-30,2023-05-31,14336.75,14251.25,85.5,1.0
2023-06-05,2023-06-08,14694.75,14526.75,168.0,3.0
2023-06-16,2023-06-21,15324.0,15002.25,321.75,5.0
2023-06-22,2023-06-26,15238.0,14853.5,384.5,4.0
2023-06-28,2023-06-29,15219.0,15028.5,190.5,1.0
2023-07-05,2023-07-10,15432.0,15063.25,368.75,5.0
2023-07-19,2023-07-21,16062.75,15522.25,540.5,2.0
2023-07-25,2023-07-27,15736.25,15511.25,225.0,2.0
2023-07-31,2023-08-04,15917.0,15336.5,580.5,4.0
2023-08-07,2023-08-11,15495.5,15037.25,458.25,4.0
2023-08-15,2023-08-18,15074.75,14609.25,465.5,3.0
2023-08-23,2023-08-25,15356.75,15048.75,308.0,2.0
2023-08-31,2023-09-07,15606.75,15157.5,449.25,7.0
2023-09-11,2023-09-13,15497.5,15424.25,73.25,2.0
2023-09-14,2023-09-22,15517.75,15027.5,490.25,8.0
2023-09-25,2023-09-27,14955.75,14821.5,134.25,2.0
2023-09-28,2023-09-29,14947.5,14811.0,136.5,1.0
2023-10-02,2023-10-04,15046.0,14956.0,90.0,2.0
2023-10-11,2023-10-13,15416.75,15062.25,354.5,2.0
2023-10-16,2023-10-20,15336.75,14645.0,691.75,4.0
2023-10-24,2023-10-27,14948.75,14407.75,541.0,3.0
2023-11-08,2023-11-09,15417.5,15236.75,180.75,1.0
2023-11-15,2023-11-17,15832.25,15825.0,7.25,2.0
2023-11-23,2023-11-24,16086.5,15981.75,104.75,1.0
2023-11-28,2023-11-30,16071.5,15856.0,215.5,2.0
2023-12-01,2023-12-05,16050.0,15961.0,89.0,4.0
2023-12-14,,16418.75,,,
2023-12-19,2023-12-21,17029.5,16970.25,59.25,2.0
2023-12-27,2024-01-04,17133.0,16436.0,697.0,8.0
2024-01-12,2024-01-17,17042.5,16689.25,353.25,5.0
2024-01-25,2024-01-29,17752.0,17716.25,35.75,4.0
2024-01-30,2024-01-31,17467.0,17221.5,245.5,1.0
2024-02-05,2024-02-06,17745.5,17560.75,184.75,1.0
2024-02-12,2024-02-14,17911.25,17887.0,24.25,2.0
2024-02-15,2024-02-21,17968.25,17372.75,595.5,6.0
2024-02-23,2024-02-28,17946.0,17846.25,99.75,5.0
2024-02-27,2024-02-28,18040.25,17846.25,194.0,1.0
2024-03-04,2024-03-06,18234.25,18174.25,60.0,2.0
2024-03-07,2024-03-11,18360.0,17890.5,469.5,4.0
2024-03-13,2024-03-15,18033.25,17831.75,201.5,2.0
2024-03-21,2024-03-26,18709.0,18439.25,269.75,5.0
2024-03-28,2024-04-02,18447.5,18201.5,246.0,5.0
2024-04-03,2024-04-05,18451.75,18408.25,43.5,2.0
2024-04-08,2024-04-10,18237.5,18053.5,184.0,2.0
2024-04-12,2024-04-22,18120.25,17448.0,672.25,10.0
2024-04-29,2024-05-01,17949.0,17399.25,549.75,2.0
2024-05-07,2024-05-09,18266.25,18240.25,26.0,2.0
2024-05-16,2024-05-17,18633.25,18545.0,88.25,1.0
2024-05-21,2024-05-23,18808.75,18621.5,187.25,2.0
2024-05-28,2024-05-31,18980.5,18668.25,312.25,3.0
2024-06-06,2024-06-07,19017.25,18940.0,77.25,1.0
